Term in English,# Of Translations,Term in Tagalog,Example Prompt, # of Occurrences of the Word Pair 
between,13,sa pagitan ng,The circular arc between point Q and point S is 1/6 of the circle.,87
between,13,sa pagitan,This table contains equivalent ratios between x and y.,53
between,13,pagitan,"What is the difference, in cost, between flying and driving for one person to travel round trip from Phoenix to San Francisco?",29
between,13,nagbaetan,The scatter plot shows the relationship between the number of beverages purchased and the number of bags of popcorn purchased for each movie at a theater.,11
between,13,iti baet ti,The athlete can jump between ___ times his own height.,6
between,13,sa pagitan nina,Select all tables that represent a proportional relationship between x and y.,2
click,13,i-click,Part A: Click to select the operation that Melinda used.,86
click,13,mag-click,Click in the chart to match equal fractions.,49
click,13,i -click,Click in the chart to match each fraction to the model that shows an equivalent fraction.,19
click,13,pindutin,Click all of the shapes that are pentagons.,17
click,13,pinduten,Click in the appropriate box to indicate the match of each table of values to its equation.,11
click,13,iklik,Click in the table to respond.,7
consider,14,isaalang-alang,Consider the line shown on the graph.,80
consider,14,pag-isipan,Consider the statements shown in the table.,60
consider,14,ikabilangan,Consider quadrilateral ABCD.,16
consider,14,ikonsidera,Consider this right triangle.,13
consider,14,tingnan,"Consider the equation that models the amount earned due to interest of an investment where a is the amount of money in the account in dollars, p is the starting investment in dollars, r is the rate of interest earned, t is the time in years, and n is the number of times the interest is compounded per year.",9
same,13,pareho,The candy bars are the same size.,68
same,13,parehong,The value of n is the same in these two equations.,49
same,13,agpada,Select the equation that has the same unknown number as □÷4=23.,16
same,13,katulad,"She also predicts the high temperature in Bismarck, North Dakota, on that same day will be –13°F.",7
given,16,ibinigay,Enter a positive value for a that makes this statement true: 61×a is less than 61 but greater than 0.,62
that makes,10,na ginagawang,"Enter the greater than (>), less than (<), or equal to (=) symbol that goes in the box that makes this comparison true.",44
that makes,10,gumagawa,Enter the value of g that makes the given equation true.,37
that makes,10,na makakagawa,"For the given equation, enter the value of b when x=6.",19
given,16,ibinibigay,Enter the minimum number of years it will take the population of North Dakota to equal the population of South Dakota given the current rates of growth.,17
given,16,naited,Enter the number that makes the equation true.,15
given,16,binigay,"Given: a function, f(x), has domain −5≤x≤6 and range −10≤f(x)≤−3.",11
that makes,10,a mamagbalin,"Given the function y=12x^2−4x+6, place a point on the coordinate grid to show each x-intercept of the function.",8
that makes,10,nga mangaramid,"Given the function y=12x^2−4x+6, place a point on the coordinate grid to show each x-intercept of the function.",4
that makes,10,na gagawin,"Given each value for x, decide whether x<x^2.",4
that makes,10,upang maging,Select the probability that an adult is employed given that the adult's highest level of education obtained is a high school diploma.,3
that makes,10,na magdudulot,Solve the given equation for t.,3
given,16,habang isinasaalang-alang,Solve the given equation for t.,3
given,16,ayon sa,"Given △ABC with coordinates A -6, 1, B 4, 1, and C 4, -3.",3
that makes,10,na gagawing,"Enter the symbol (<, >, or =) that goes in the box to make a true comparison.",2
given,16,given,Click in the appropriate box to indicate the match of each table of values to its equation.,2
given,16,batay,"Enter the greater than (>), less than (<), or equal to (=) symbol that goes in the box that makes this comparison true.",2
that makes,10,na papa-,Enter the fraction in the box.,1
given,16,pumili,Select the appropriate box to identify each expression as having either a rational or irrational sum.,1
given,16,nang may,He claims all of the following methods will work.,1
given,16,nang gamit ang,Connor claims that each glass has 1/12 gallon of water.,1
given,16,maibasar iti,Boris claims that putting the same digit in each box will always make this comparison true.,1
given,16,kung,Ira claims that there are no values for p such that f(x)+k=f(x+k) is true for all values of k.,1
given,16,habang isinasaalan,"Lytrisha claims that y=2x^2+3 is a function, but not a linear function.",1
given,16,g-alang,Diego claims that Graph 1 is a function.,1
given,16,ang ibinigay ay,She claims that transformations will not change the perimeter of the square.,1
box,5,kahon,Angelo claims the equation c=1.,108
box,5,na kahon,Brandon claims that the expressions are equivalent because when x = 2 both expressions are equal to 22.,3
box,5,sa loob ng kahon,Kyle claims that the volume of cylinder A is 3 times the volume of cylinder B.,2
box,5,karton,Tony constructs HG¯ and claims it is parallel to ED¯.,1
box,5,kahon ng pagtugon,Matt claims that PQRS is not a rectangle and is not a rhombus.,1
claims,18,sinasabi,Jennifer claims she needs to pay the store owner $100 after 4 paintings are sold.,58
claims,18,pampanunoten,"Based on the information, Jennifer claims that Triangle 1 and Triangle 2 cannot be similar.",16
claims,18,ipinapahayag,Brent claims that each section of road is 3/4 mile long.,11
claims,18,sinabi,Brett claims that the Pythagorean theorem can be used to solve for the missing side length.,10
claims,18,claims,Ashley claims that these linear equations form a system that has exactly one solution when graphed on the same coordinate plane.,6
claims,18,pahayag,Part B: Drag numbers from the palette into the box to create the number that corrects her mistake.,4
claims,18,minumungkahi,Drag a rate or quantity to each box to calculate the rate at which the swimming pool is filled in liters per hour.,3
claims,18,winiwika,"Drag each fraction to the number line, as close to the exact location as possible.",2
claims,18,nagsasabi,Drag the number of round donuts and bars in one bag of Jasmin’s donuts.,2
claims,18,ipinahayag,Drag numbers into the boxes to complete the times for each activity.,2
claims,18,iminumungkahi,Drag numbers from the palette to the response boxes.,2
claims,18,sinabing,Determine whether each value of m makes the inequality true.,1
claims,18,mga pahayag,What unknown number makes this equation true?,1
claims,18,kunaen,What unknown number makes this equation true?,1
claims,18,kini-claim,What unknown number makes the equation true?,1
claims,18,ibagbaga,What unknown number makes this equation true?,1
claims,18,dagiti panagala,Jim makes $8 per hour at his job.,1
claims,18,ayon kay,What unknown number makes this equation true?,1
drag,6,i-drag,What unknown number makes this equation true?,38
drag,6,mag-drag,Enter the number that makes the equation true.,25
drag,6,hilahin,Tyler makes 76 cookies.,11
drag,6,iguyod,Determine whether each value of x makes the inequality true.,10
drag,6,maghila,What unknown number makes this equation true?,2
drag,6,i-drap,She makes the same number of calls each hour as shown in the table.,1
makes,21,ginagawang,Determine whether each value of y makes the inequality true.,30
makes,21,gumagawa,Anna makes her bed on the same days each week.,27
makes,21,gagawing,"Using the data from the experiment, Martha makes the following predictions: there are about 2 times as many red marbles as blue marbles.",21
makes,21,mangaramid,What unknown number makes this equation true?,12
makes,21,gagawin,What unknown number makes the equation true?,10
makes,21,kumikita,Which number makes the inequality true?,4
makes,21,ang magdudulot na maging,What unknown number makes this equation true?,4
makes,21,gagawang,What unknown number makes this equation true?,3
makes,21,mamagbalin,The teacher claims that each student will complete 135 parts of the project.,2
makes,21,gumawa,"Emily claims point (j, k) is a reflection of the point (-j, k) across the y-axis.",2
makes,21,gawin,"He claims that there is no other point with positive, whole number coordinates that is the same distance away from point A.",2
makes,21,aramid ti,Kyle claims that the volume of cylinder A is 3 times the volume of cylinder B.,2
makes,21,tumatawag,"Lytrisha claims that y=2x^2+3 is a function, but not a linear function.",1
makes,21,na magdudulot,Evaluate the claim as true or false for each set of numbers.,1
makes,21,inayos,Brett claims that the Pythagorean theorem can be used to solve for the missing side length.,1
makes,21,ginawa,Drag one number into each box to complete an equation that does not support Jared's claim.,1
makes,21,ginagawan,Bryan claims the difference between the number of 7th graders and the number of 8th graders at his school cannot be an odd number.,1
makes,21,gagawa sa,"A student claims that if a line segment is drawn from the midpoint of one side of a triangle to any other point on the triangle, then the length of the line segment must be half the length of one side of the triangle.",1
makes,21,gagawa para maging,Nicole claims that the single-sport pass is less expensive than buying individual tickets if you attend all the games in any one sport.,1
makes,21,gagawa,Jennifer claims she needs to pay the store owner $100 after 4 paintings are sold.,1
makes,21,ang gagawa,Mary claims that the quadratic equation 2x^2−28x+7m=0 has only one solution for some value of m.,1
claim,13,pahayag,Is Kyle’s claim correct?,44
claim,13,kapanunotan,Select the statement that supports lytrisha’s claim.,9
claim,13,sinabi,Evaluate the claim as true or false for each set of numbers.,7
claim,13,claim,Brett claims that the pythagorean theorem can be used to solve for the missing side length.,6
claim,13,sinasabi,Drag one number into each box to complete an equation that does not support Jared's claim.,5
claim,13,sasao,Bryan claims the difference between the number of 7th graders and the number of 8th graders at his school cannot be an odd number.,3
claim,13,panagala,"A student claims that if a line segment is drawn from the midpoint of one side of a triangle to any other point on the triangle, then the length of the line segment must be half the length of one side of the triangle.",2
claim,13,statement,Nicole claims that the single-sport pass is less expensive than buying individual tickets if you attend all the games in any one sport.,1
claim,13,sa pahayag,Jennifer claims she needs to pay the store owner $100 after 4 paintings are sold.,1
claim,13,pahayagn,Mary claims that the quadratic equation 2x^2 - 28x + 7m = 0 has only one solution for some value of m.,1
claim,13,paghahabol,Consider the statements shown in the table.,1
claim,13,innannugotna,Select all the statements which correctly describe the domain or range of this function.,1
claim,13,gamgamen,Which two statements are true?,1
statements,9,mga pahayag,Four students make statements about the equation shown.,45
statements,9,pahayag,"Determine which of the statements about absolute value are never true, sometimes true, or always true.",13
statements,9,sasao,Select all the statements about the jelly beans that are correct.,11
statements,9,dagiti pagsasao,Select all the statements that correctly describe the domain or range of this function.,10
statements,9,panagsasao,Which inequality represents all possible solutions of -7n < 161?,2
statements,9,pagsasao,One possible path from the school to the park is shown on the map.,2
statements,9,dagiti sarita,He wants to pay the lowest possible price and have enough calculators so each pair of students will most likely have 1 calculator to share.,2
statements,9,mga  pahayag,She is trying to determine possible lengths of the third side of her design.,1
statements,9,dagiti sasao,"Drag each fraction to the number line, as close to the exact location as possible.",1
possible,6,posible,Select all possible values for x in the equation x^2 = 300.,45
possible,6,posibleng,Decide whether the line appears to be a line of symmetry for the shape.,42
possible,6,maaaring,Decide if each statement is true or false.,14
possible,6,maaari,Decide whether each expression is equal to 25/12.,14
possible,6,hangga't maaari,Decide whether each equation is true or false.,2
possible,6,bawat,You decide to plant tomatoes and carrots.,1
decide,11,magpasya,Decide if each statement is true.,27
decide,11,pagpasyahan,You decide that you will only sell two different types of frozen treats in your ice-cream cart.,14
decide,11,pag-isipan,Decide whether each expression is equal to 6x^3/4.,14
decide,11,piliin,Decide whether each number is prime or composite.,6
decide,11,desisyunan,"Decide whether Roger or Mari is correct, and explain why his or her answer is correct.",4
decide,11,magdesisyon,Which number goes in the box to make this comparison true?,2
decide,11,napagpasyahan,"Given that a + b = c and 2a = g, drag values into the boxes to make the equations true.",1
decide,11,kung,Enter the unknown number to make the equation true.,1
decide,11,ikeddeng,A florist uses a ratio of 2 roses for every 3 carnations to make her best-selling floral arrangement.,1
decide,11,esisyunan,These tables show how much coffee and sugar is used by Charlie and Emma to make their coffee.,1
decide,11,a mangserbio,"N x 9 = 63, □ ÷ 9 = n, what number belongs in the box to make the equation true?",1
to make,23,upang gumawa,Lori wants to make a big letter 'L' to display in her room.,14
to make,23,upang gawing,A baker uses 42 apples to make pies.,12
to make,23,para magawang,Your goal is to make a profit of at least $700.,8
to make,23,para gawing,"34, 78, 32, 2, 78, 32, 34, 78, 32, 78 over 8, complete the line plot to represent the data by clicking above each tick mark to make an X appear.",8
to make,23,upang gawin,She uses 21 1/4 cups of flour to make a loaf of bread.,4
to make,23,upang maging,This graph shows the number of apples needed to make different amounts of apple pie.,3
to make,23,gumawa,"46, 13, 56, 12, 26, 46, 36, 26, 23, 22 1/2, part A: complete the line plot that represents the data by clicking above each tick mark to make an X appear.",3
to make,23,na gagawin,What number goes in the box to make this equation true?,2
to make,23,makalikom,"To make sure there is enough space for the donuts, Dave wants to add 12 1/2 inch to the minimum length, width, and height of the box.",2
to make,23,upang may,What number goes in the box to make the equation true?,1
to make,23,upang makagawa ng,A basket of apples is used to make 2 pies.,1
to make,23,upang makagawa,Which number goes in the box to make this comparison true?,1
to make,23,upang,A baker uses 42 apples to make pies.,1
to make,23,tapno mangaramid,Randy needs to make more than $900 each week working at a restaurant.,1
to make,23,tapno agaramid,You and Ashley talk about the number of batches of each type of cookie to make.,1
to make,23,para maging,What digit can you put in the box to make the comparison true?,1
to make,23,para gumawa,The shaded area on the sandbox diagram represents the 12-inch-wide by 1-foot-tall concrete walls.,1
to make,23,para gawin,Enter your answer in the first response box.,1
to make,23,na gagawing,Enter the quotient in the first response box.,1
to make,23,matanggap,One part is shaded.,1
to make,23,makuha,Enter your answer in the first response box.,1
to make,23,gagawin,Enter your response in the first response box.,1
to make,23,a mamagbalin,A shaded rectangle is shown on the grid.,1
shaded,15,may kulay,The shaded part of figure A shows the fraction of a gallon of red paint Mike used.,18
first response box,12,unang kahon para sa sagot,"Enter the minimum ending height, in feet, in the first response box.",14
first response box,12,umuna a kahon a pagsubalitan,The shaded region is 454/5 of the whole circle.,13
shaded,15,naitiman,Which model shows 1/8 of the whole figure shaded?,11
first response box,12,unang kahon ng sagot,A shaded rectangle is shown on the grid.,9
first response box,12,kahon para sa unang sagot,The shaded portions in this model represent the amount of water that Leon uses in the frosting mix.,9
shaded,15,nangisitan,Enter the equation in the first response box.,8
shaded,15,nakulayan,"2500 ÷ □ = □, ○ × □ = 1500, enter the number that goes in the squares in the first response box.",6
first response box,12,unang kahon ng pagtugon,Her solution is shaded in this fraction model.,6
shaded,15,nakoloran,"In the first response box, enter a single-digit whole number for x that supports Cindy's claim.",5
shaded,15,kinulayang,Enter your answer in the first response box.,5
shaded,15,initiman,Which model shows 1/6 of the whole figure shaded?,5
shaded,15,namarisan,The shaded part of the figure represents the fraction of a cup of milk Dan had left at the end of his meal.,3
shaded,15,naitimang,The fraction model shows 18 1/8 of the whole model shaded.,3
first response box,12,unang kahon para sa tugon,Figure A has 383/8 of its whole shaded.,3
first response box,12,kahon ng unang sagot,The shaded area of each pan shows the remaining brownies.,3
shaded,15,shaded,Which model shows 16 of the whole figure shaded?,2
first response box,12,unang kahon ng tugon, The shaded part of the figure represents the fraction of a cup of milk dan had left at the end of his meal.,2
first response box,12,umuna a cahon te sumbat,One part is shaded.,2
shaded,15,na nakulayan,Figure A has 383/8 of its whole shaded.,1
shaded,15,may shade,The shaded area of each pan shows the remaining brownies.,1
shaded,15,kinulayan,Enter your answer in the first response box.,1
shaded,15,ket nakulayan,"In the first response box, enter a single-digit whole number for x that supports Cindy's claim.",1
shaded,15,initimang,"Enter the letter of the tree you chose for the end of the zip line, A or B, in the first response box.",1
first response box,12,umuna a karton ti sungbat,"Enter the volume, in cubic centimeters, of the completed rectangular prism.",1
first response box,12,kahon para sa unang tugon,Enter your answer in the response box.,1
first response box,12,kahon para sa unang sungbat,Enter an expression equivalent to (3xy2)(2x2y4)(3 x y^2)(2 x^2 y^4) in the form axmyn.,1
